,accuracy,balanced_accuracy,cluster_accuracy,macroF1_score,medianF1_score,medianPrecision_score,medianRecall_score,mathews_corr_coef_score,adjusted_rand_score,cohens_kappa_score
top1k_diffReg,0.8290598290598291,0.875956595640532,0.9,0.848527595158238,0.8382618143710844,0.8365363436123348,0.9004167580609783,0.780009080421822,0.5912752414046948,0.7749901118701505
top2k_diffReg,0.8173076923076923,0.8723352393804138,0.9,0.8438108888787293,0.8307269178820975,0.8460277002080328,0.9091723331139869,0.7676239593716379,0.5658114850792827,0.7596266806635137
top3k_diffReg,0.8263888888888888,0.877584481676258,0.9090909090909091,0.8492022802349117,0.8339496542824676,0.8492726651221087,0.9083132265847773,0.7778063082710704,0.5839937988291259,0.771448577996178
