,num_clust,scATAcat_Acc,labelTransfer_Acc,scATAcat_BAcc,labelTransfer_BAcc,scATAcat_CAcc,labelTransfer_CAcc
leiden_0.1,3.0,0.9548532731376975,0.327313769751693,0.9565425421260662,0.3717495319325983,0.6666666666666666,0.3333333333333333
leiden_0.2,5.0,0.9478623566214807,0.17309697601668406,0.9532811201937262,0.23108173764385906,0.8,0.2
leiden_0.3,5.0,0.9478623566214807,0.17309697601668406,0.9532811201937262,0.23108173764385906,0.8,0.2
leiden_0.4,5.0,0.9528130671506352,0.29764065335753176,0.9578165329881577,0.30647499659704086,0.6,0.2
leiden_0.5,7.0,0.9478623566214807,0.17309697601668406,0.9536565173881771,0.23108173764385906,0.7142857142857143,0.14285714285714285
leiden_0.6,8.0,0.9164292497625831,0.16334283000949668,0.9147662833632996,0.19763134756189576,0.75,0.125
leiden_0.7,8.0,0.9164292497625831,0.16334283000949668,0.9147662833632996,0.19763134756189576,0.75,0.125
leiden_0.8,9.0,0.9145299145299145,0.16334283000949668,0.9137858912064368,0.19763134756189576,0.6666666666666666,0.1111111111111111
leiden_0.9,10.0,0.9145299145299145,0.16334283000949668,0.9137858912064368,0.19763134756189576,0.7,0.2
leiden_1.0,10.0,0.8689458689458689,0.16334283000949668,0.8893555261750489,0.19763134756189576,0.7,0.2
leiden_1.1,10.0,0.9097815764482431,0.16334283000949668,0.9095712042915212,0.19763134756189576,0.7,0.2
leiden_1.2,10.0,0.8670465337132004,0.16334283000949668,0.8875123807621094,0.19763134756189576,0.7,0.2
leiden_1.3,11.0,0.8660968660968661,0.16334283000949668,0.8870221846836779,0.19763134756189576,0.7,0.2
leiden_1.4,11.0,0.8641975308641975,0.16334283000949668,0.8863039102717705,0.19763134756189576,0.6363636363636364,0.18181818181818182
leiden_1.5,13.0,0.8708452041785375,0.16334283000949668,0.8915371893541545,0.19763134756189576,0.7272727272727273,0.18181818181818182
leiden_1.6,13.0,0.8708452041785375,0.16334283000949668,0.8927766603870028,0.19763134756189576,0.6666666666666666,0.16666666666666666
leiden_1.7,14.0,0.9211775878442545,0.16334283000949668,0.9187570525438655,0.19763134756189576,0.6923076923076923,0.15384615384615385
leiden_1.8,13.0,0.9107312440645774,0.16334283000949668,0.9103235181149077,0.19763134756189576,0.6666666666666666,0.16666666666666666
leiden_1.9,14.0,0.9416058394160584,0.17309697601668406,0.948526208035395,0.23108173764385906,0.6153846153846154,0.15384615384615385
leiden_2.0,14.0,0.9416058394160584,0.17309697601668406,0.948526208035395,0.23108173764385906,0.6153846153846154,0.15384615384615385
leiden_2.1,15.0,0.9416058394160584,0.17309697601668406,0.9488538552165892,0.23108173764385906,0.5714285714285714,0.14285714285714285
leiden_2.2,17.0,0.9436913451511991,0.17309697601668406,0.9519563313849221,0.23108173764385906,0.5625,0.125
leiden_2.3,16.0,0.9499478623566214,0.17309697601668406,0.9567589935565101,0.23108173764385906,0.6428571428571429,0.14285714285714285
leiden_2.4,18.0,0.9395203336809176,0.17309697601668406,0.9498329981739593,0.23108173764385906,0.5882352941176471,0.11764705882352941
leiden_2.5,17.0,0.9238790406673618,0.17309697601668406,0.939938777327726,0.23108173764385906,0.5625,0.125
